,Lokalizacja,Nazwa lokalizacji,Users,Transfer przychodzący,Transfer wychodzący,longitude,longitude
0,LOK001,"Park Kuźniczki,Gdansk",132,2603816,846616,54.3819741,18.607504510909955
1,LOK002,"Plac Wybickiego,Gdansk",56,1890720,450952,54.3846354,18.6108389
2,LOK004,"Park Grodzisko,Gdansk",145,320328,61888,54.3552638,18.638501882278597
3,LOK006,"Plac Dwóch Miast,Gdansk",13,61728,33936,54.4256495,18.5826307
4,LOK007,"Dworzec PKS,Gdansk",1229,2145096,422752,54.3569744,18.6434415
5,LOK010,"Przystań Żabi Kruk,Gdansk",14,221944,87056,54.3429098,18.649706303011044
6,LOK012,"Przystań Tamka,Gdansk",3,318336,221720,54.3574585,18.711481806513948
7,LOK013,"Przystań Nadwiślańska,Gdansk",33,1109704,341904,54.34660195,18.81281440902925
8,LOK018,"Park de Gaulle'a,Gdansk",221,303656,56184,54.37929365,18.60238558942944
9,LOK019,"Park ks. Kanonika Orkusza,Gdansk",25,1314256,326664,54.391760950000005,18.647234726680274
10,LOK020,"Brzeźno Molo,Gdansk",231,17434352,4870784,54.4133784,18.6261585
11,LOK021,"Targ Węglowy,Gdansk",467,5058296,2175968,54.3511607,18.6480177
12,LOK022,"Plac Zebrań Ludowych,Gdansk",131,2183656,1683896,54.36164175,18.63991874907673
13,LOK023,"Plaża Jelitkowo,Gdansk",188,6290584,1850752,54.4239659,18.6022769
14,LOK025,"Park Brzeźnieński im. Haffnera,Gdansk",54,517576,502680,54.4073554,18.645015938398693
15,LOK026,"Plaża Stogi,Gdansk",44,372528,116024,54.377008450000005,18.72560347617056
16,LOK027,"Plaża Wyspa Sobieszewska,Gdansk",23,1088416,580208,54.3505255,18.9329713
17,LOK028,"Park Oliwski,Gdansk",460,37521464,3583616,54.41111155,18.56253389988469
18,LOK030,"Park im. Jana Pawła II,Gdansk",8,157584,98592,54.399866450000005,18.601976173394117
19,LOK031,"Park Millenium Gdańska,Gdansk",17,726672,946544,54.3971107,18.613539445585975
20,LOK032,"Park Akademicki,Gdansk",402,6277632,400656,54.3713388,18.6239762050995
21,LOK035,"Park Oruński,Gdansk",63,304272,60240,54.32186115,18.625543751261645
22,LOK037,"Piwna,Gdansk",441,4122808,2249920,54.3497247,18.6520404
23,LOK039,"ZOO Oliwa,Gdansk",54,1816888,1199864,54.4144386,18.53080508146004
24,LOK040,"Twierdza Wisłoujście,Gdansk",15,1426280,276872,54.395838,18.679434353336248
25,LOK041,"Pomnik Poległych Stoczniowców,Gdansk",23,121080,92776,54.36049145,18.64901121055243
26,LOK042,"Góra Gradowa,Gdansk",50,688176,859040,54.357641,18.6402587
27,LOK044,"Zieleniec Heweliusza,Gdansk",322,16549923,7590246,54.3541229,18.64899840749559
28,LOK045,"Skwer Czesława Niemena,Gdansk",384,17929083,8222767,54.35227145,18.644451751875728
29,LOK046,"Park Hucisko,Gdansk",653,16118976,5859856,54.3552638,18.638501882278597
30,LOK047,"Targ Drzewny,Gdansk",87,31344,18056,54.35206175,18.648344122141825
31,LOK048,"Brama Wyżynna,Gdansk",880,8888024,3787784,54.34993025,18.64652392733751
32,LOK049,"Dom Harcerza,Gdansk",89,1551896,464976,54.3483938,18.6479105
33,LOK051,"Szeroka I,Gdansk",101,9134952,5717648,54.3521336,18.6493113
34,LOK053,"Grobla,Gdansk",111,9134896,5717648,54.3529391,18.6599081
35,LOK054,"Bazylika Mariacka,Gdansk",232,11018816,1991216,54.3498079,18.65300936814465
36,LOK055,"Szeroka II,Gdansk",124,9135384,5717672,54.3521336,18.6493113
37,LOK056,"Mariacka,Gdansk",348,19208648,3439088,54.3495984,18.6554772
38,LOK057,"Św. Ducha,Gdansk",331,13986768,3059592,54.3516488,18.6485003
39,LOK058,"Stągiewna,Gdansk",334,3041216,1617736,54.347457,18.6582853
40,LOK059,"Długie Pobrzeże,Gdansk",114,3041304,1617776,54.3491354,18.6566249
41,LOK060,"Rybackie Pobrzeże,Gdansk",683,7334576,5381728,54.3525416,18.6580086
42,LOK064,"Westerplatte,Gdansk",110,11402024,3051672,54.4052814,18.680566
43,LOK069,"Marina Szafarnia,Gdansk",194,2662696,1197688,54.3486826,18.6608816
44,LOK078,"Zieleniec Piecki-Migowo,Gdansk",16,830416,232136,54.36058675,18.60329744582778
45,LOK084,"Skatepark Osowa,Gdansk",28,1082688,797176,54.42180605,18.47408195
46,LOK085,"Plac Biskupa O'Rourke.,Gdansk",16,1522400,216232,54.38297995,18.62604269448545
47,LOK086,"Plac gen. Maczka,Gdansk",79,2218520,1012416,54.38664865,18.58263978738184
48,LOK091,"Park nad Strzyżą,Gdansk",27,2003488,233104,54.38048455,18.618454296914106
49,LOK092,"Park Zielony,Gdansk",191,3581584,1088160,54.3672465,18.630096845081628
50,LOK093,"Park Siennicki,Gdansk",66,14177832,1693368,54.34976495,18.670887956496472
51,LOK094,"Park Bema,Gdansk",31,3115104,1102344,54.352222600000005,18.63203969836239
52,LOK096,"Park Uphagena,Gdansk",47,845272,240648,54.3761268,18.616980389680204
53,LOK098,"Wzgórze Pachołek,Gdansk",25,37066192,2557080,54.4116541,18.550736
54,LOK099,"Stacja Strzyża,Gdansk",210,3599456,902152,54.3899317,18.584874580083664
